Time(s);IntInt
0.00;4.60
3.00;3.97
6.00;3.77
9.00;4.45
12.00;4.30
15.00;3.14
18.00;3.61
21.00;4.02
24.00;4.04
27.00;3.07
30.00;3.48
33.00;4.73
36.00;3.51
39.00;4.54
42.00;0.62
45.00;0.78
48.00;0.53
51.00;0.99
54.00;1.31
57.00;0.71
60.00;0.81
63.00;2.40
66.00;1.89
69.00;0.27
72.00;0.20
75.00;0.38
78.00;0.17
81.00;0.53
84.00;2.03
87.00;5.47
90.00;1.16
93.00;0.36
96.00;0.93
99.00;1.56
102.00;0.87
105.00;0.99
108.00;0.92
111.00;1.04
114.00;0.87
117.00;0.11
120.00;0.31
123.00;0.36
126.00;1.07
129.00;1.06
132.00;0.23
135.00;0.77
138.00;0.13
141.00;1.30
144.00;0.22
147.00;1.69
150.00;0.47
153.00;1.15
156.00;0.49
159.00;0.96
162.00;0.97
165.00;0.95
168.00;0.75
171.00;1.17
174.00;1.20
177.00;0.78
180.00;0.48
183.00;0.34
186.00;1.88
189.00;0.14
192.00;0.96
195.00;0.38
198.00;1.43
201.00;1.22
204.00;2.06
207.00;3.18
210.00;3.03
213.00;2.85
216.00;3.47
219.00;4.15
222.00;4.35
225.00;4.17
228.00;5.04
231.00;5.00
234.00;6.22
237.00;7.64
240.00;6.52
243.00;8.31
246.00;7.71
249.00;7.98
252.00;6.45
255.00;9.34
258.00;9.14
261.00;9.46
264.00;8.05
267.00;8.73
270.00;10.72
273.00;9.31
276.00;11.33
279.00;7.88
282.00;9.72
285.00;9.41
288.00;8.45
291.00;10.16
294.00;10.97
297.00;9.25
300.00;9.78
303.00;9.56
306.00;10.93
309.00;12.11
312.00;9.68
315.00;13.65
318.00;11.60
321.00;9.88
324.00;11.08
327.00;11.27
330.00;11.90
333.00;11.29
336.00;11.91
339.00;11.81
342.00;11.29
345.00;12.18
348.00;11.14
351.00;12.12
354.00;10.76
357.00;14.22
360.00;13.05
363.00;11.87
366.00;11.67
369.00;11.95
372.00;12.12
375.00;9.84
378.00;12.18
381.00;11.61
384.00;10.44
387.00;11.75
390.00;9.78
393.00;12.28
396.00;10.06
399.00;11.16
402.00;10.48
405.00;10.61
408.00;11.14
411.00;11.96
414.00;11.06
417.00;12.07
420.00;9.29
423.00;11.56
426.00;10.73
429.00;9.76
432.00;11.11
435.00;11.60
438.00;11.76
441.00;11.05
444.00;11.62
447.00;11.89
450.00;13.23
453.00;12.10
456.00;11.76
459.00;11.04
462.00;10.40
465.00;9.40
