Time(s);IntInt
0.00;43.82
3.00;45.26
6.00;41.34
9.00;38.19
12.00;36.73
15.00;34.34
18.00;35.29
21.00;31.10
24.00;34.01
27.00;33.15
30.00;30.41
33.00;28.14
36.00;30.43
39.00;30.78
42.00;30.51
45.00;30.95
48.00;31.21
51.00;26.33
54.00;28.64
57.00;30.02
60.00;27.34
63.00;26.66
66.00;30.35
69.00;27.31
72.00;30.36
75.00;31.93
78.00;32.37
81.00;31.26
84.00;31.03
87.00;28.78
90.00;31.37
93.00;29.94
96.00;29.05
99.00;24.59
102.00;23.53
105.00;21.90
108.00;24.98
111.00;19.41
114.00;24.49
117.00;24.28
120.00;21.12
123.00;19.43
126.00;19.29
129.00;20.94
132.00;18.61
135.00;19.29
138.00;16.30
141.00;18.39
144.00;20.83
147.00;20.69
150.00;24.84
153.00;23.18
156.00;22.70
159.00;17.25
162.00;18.65
165.00;20.16
168.00;20.38
171.00;21.52
174.00;18.87
177.00;19.32
180.00;17.99
183.00;20.15
186.00;18.35
189.00;19.28
192.00;17.81
195.00;18.25
198.00;16.75
201.00;16.33
204.00;20.48
207.00;14.39
210.00;13.13
213.00;14.57
216.00;13.32
219.00;10.50
222.00;12.67
225.00;12.19
228.00;14.02
231.00;11.16
234.00;10.82
237.00;9.64
240.00;10.53
243.00;10.59
246.00;12.10
249.00;11.96
252.00;14.18
255.00;10.83
258.00;9.85
261.00;10.91
264.00;11.97
267.00;13.67
270.00;9.11
273.00;11.08
276.00;10.45
279.00;9.12
282.00;9.16
285.00;7.78
288.00;8.01
291.00;10.02
294.00;10.68
297.00;16.37
300.00;9.52
303.00;10.63
306.00;12.50
309.00;11.64
312.00;11.75
315.00;9.70
318.00;11.11
321.00;10.65
324.00;10.97
327.00;12.32
330.00;11.62
333.00;18.01
336.00;12.99
339.00;12.83
342.00;13.35
345.00;15.02
348.00;13.23
351.00;14.64
354.00;13.70
357.00;15.01
360.00;13.66
363.00;11.45
366.00;15.70
369.00;16.18
372.00;15.36
375.00;12.18
378.00;13.47
381.00;13.85
384.00;13.65
387.00;13.76
390.00;16.31
393.00;13.26
396.00;11.36
399.00;15.01
402.00;14.47
405.00;13.04
408.00;13.28
411.00;12.17
414.00;12.87
417.00;14.91
420.00;13.42
423.00;13.75
426.00;14.85
429.00;14.63
432.00;15.69
435.00;14.96
438.00;16.53
441.00;14.95
444.00;18.36
447.00;18.86
450.00;17.66
453.00;20.50
456.00;18.40
459.00;21.00
